k,points,radius,akurasi
0.015,56.0,11.0,60.0
0.02,56.0,11.0,45.0
0.005,56.0,12.0,0.0
0.01,56.0,12.0,20.0
0.015,56.0,12.0,62.5
0.02,56.0,12.0,32.5
0.005,56.0,13.0,0.0
0.01,56.0,13.0,35.0
0.015,56.0,13.0,60.0
0.02,56.0,13.0,52.5
0.005,56.0,14.0,0.0
0.01,56.0,14.0,20.0
0.015,56.0,14.0,67.5
0.02,56.0,14.0,62.5
0.005,56.0,15.0,0.0
0.01,56.0,15.0,22.5
0.015,56.0,15.0,67.5
0.02,56.0,15.0,55.0
0.005,56.0,16.0,0.0
0.01,56.0,16.0,20.0
0.015,56.0,16.0,67.5
0.02,56.0,16.0,72.5
0.005,56.0,17.0,0.0
0.01,56.0,17.0,22.5
